Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,setA.xlsx,22.481960500008427,None,space,13.422597332988516,22.481960500008427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
kail,non-word,na,n,comic sans,1,practice10.jpeg,practice,practice,0,0,0,9,,,,,,,,,,,,35.98260033300903,None,w,0,2.5068160829978297,35.98260033300903,None,38.52783000000636,None,,,,,,,,,,,,,,,,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
darm,non-word,na,n,georgia,2,practice7.jpeg,practice,practice,0,1,1,6,,,,,,,,,,,,39.54202666600759,None,n,1,1.9159781670023222,39.54202666600759,None,41.4912590830063,None,,,,,,,,,,,,,,,,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
nars,non-word,na,n,georgia,2,practice8.jpeg,practice,practice,0,2,2,7,,,,,,,,,,,,42.50546470801055,None,n,1,1.005346208010451,42.50546470801055,None,43.535688125004526,None,,,,,,,,,,,,,,,,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
pond,word,na,w,comic sans,1,practice5.jpeg,practice,practice,0,3,3,4,,,,,,,,,,,,44.538194583001314,None,w,1,0.9046225830097683,44.538194583001314,None,45.469033916000626,None,,,,,,,,,,,,,,,,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
ball,word,na,w,georgia,2,practice2.jpeg,practice,practice,0,4,4,1,,,,,,,,,,,,46.47268541601079,None,w,1,0.6294935829937458,46.47268541601079,None,47.119288500005496,None,,,,,,,,,,,,,,,,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
mitt,word,na,w,georgia,2,practice3.jpeg,practice,practice,0,5,5,2,,,,,,,,,,,,48.12207825000223,None,n,0,0.8964319590013474,48.12207825000223,None,49.03560629101412,None,,,,,,,,,,,,,,,,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
larp,non-word,na,n,comic sans,1,practice11.jpeg,practice,practice,0,6,6,10,,,,,,,,,,,,50.051553083001636,None,n,1,0.9417017500090878,50.051553083001636,None,51.02076758300245,None,,,,,,,,,,,,,,,,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
fizz,word,na,w,georgia,2,practice1.jpeg,practice,practice,0,7,7,0,,,,,,,,,,,,52.03869245800888,None,w,1,0.8575858749973122,52.03869245800888,None,52.919127500004834,None,,,,,,,,,,,,,,,,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
faud,non-word,na,n,georgia,2,practice9.jpeg,practice,practice,0,8,8,8,,,,,,,,,,,,53.92101608301164,None,w,0,0.8000257910025539,53.92101608301164,None,54.75257745801355,None,,,,,,,,,,,,,,,,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
