Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,setA.xlsx,20.78591574999882,None,space,10.446691125000143,20.78591574999882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
fizz,word,na,w,georgia,2,practice1.jpeg,practice,practice,0,0,0,0,,,,,,,,,,,,31.30429295799877,None,None,0,31.30429295799877,None,34.312907416999224,None,,,,,,,,,,,,,,,,,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
nars,non-word,na,n,georgia,2,practice8.jpeg,practice,practice,0,1,1,7,,,,,,,,,,,,37.31762895799875,None,n,1,37.31762895799875,None,39.51970920799977,None,2.1675281660009205,,,,,,,,,,,,,,,,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
darm,non-word,na,n,georgia,2,practice7.jpeg,practice,practice,0,2,2,6,,,,,,,,,,,,40.53114970800016,None,n,1,40.53114970800016,None,41.894395541999984,None,1.3312415000000328,,,,,,,,,,,,,,,,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
pond,word,na,w,comic sans,1,practice5.jpeg,practice,practice,0,3,3,4,,,,,,,,,,,,42.897485499999675,None,w,1,42.897485499999675,None,44.26109137499952,None,1.332189456999913,,,,,,,,,,,,,,,,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
mitt,word,na,w,georgia,2,practice3.jpeg,practice,practice,0,4,4,2,,,,,,,,,,,,45.26396204199955,None,w,1,45.26396204199955,None,47.27791933299886,None,1.9963665409995883,,,,,,,,,,,,,,,,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
larp,non-word,na,n,comic sans,1,practice11.jpeg,practice,practice,0,5,5,10,,,,,,,,,,,,48.280469707999146,None,n,1,48.280469707999146,None,49.26121199999943,None,0.9538393740003812,,,,,,,,,,,,,,,,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
gnaw,word,na,w,comic sans,1,practice4.jpeg,practice,practice,0,6,6,3,,,,,,,,,,,,50.26471404199947,None,w,1,50.26471404199947,None,51.361227166999015,None,1.067711623998548,,,,,,,,,,,,,,,,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
slim,word,na,w,comic sans,1,practice6.jpeg,practice,practice,0,7,7,5,,,,,,,,,,,,52.36481595799887,None,w,1,52.36481595799887,None,53.244508582998606,None,0.8557812079998257,,,,,,,,,,,,,,,,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
ball,word,na,w,georgia,2,practice2.jpeg,practice,practice,0,8,8,1,,,,,,,,,,,,54.260324999999284,None,w,1,54.260324999999284,None,55.011433541998485,None,0.7328379579994362,,,,,,,,,,,,,,,,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
