Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,setA.xlsx,17.761345167004038,None,space,11.992967166006565,17.761345167004038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
darm,non-word,na,n,georgia,2,practice7.jpeg,practice,practice,0,0,0,6,,,,,,,,,,,,29.8237905420101,None,n,1,1.4380247489898466,29.8237905420101,None,31.289260292003746,None,,,,,,,,,,,,,,,,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
kail,non-word,na,n,comic sans,1,practice10.jpeg,practice,practice,0,1,1,9,,,,,,,,,,,,32.30209066699899,None,n,1,1.1587029579968657,32.30209066699899,None,33.479058834011084,None,,,,,,,,,,,,,,,,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
ball,word,na,w,georgia,2,practice2.jpeg,practice,practice,0,2,2,1,,,,,,,,,,,,34.48354566699709,None,w,1,1.1524031250010012,34.48354566699709,None,35.66244558400649,None,,,,,,,,,,,,,,,,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
nars,non-word,na,n,georgia,2,practice8.jpeg,practice,practice,0,3,3,7,,,,,,,,,,,,36.6658209169982,None,n,1,0.8804361659858841,36.6658209169982,None,37.56293620901124,None,,,,,,,,,,,,,,,,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
gnaw,word,na,w,comic sans,1,practice4.jpeg,practice,practice,0,4,4,3,,,,,,,,,,,,38.565529917003005,None,n,0,0.9753817909950158,38.565529917003005,None,39.568458374997135,None,,,,,,,,,,,,,,,,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
faud,non-word,na,n,georgia,2,practice9.jpeg,practice,practice,0,5,5,8,,,,,,,,,,,,40.58130550000351,None,n,1,1.119628873988404,40.58130550000351,None,41.73165270900063,None,,,,,,,,,,,,,,,,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
pond,word,na,w,comic sans,1,practice5.jpeg,practice,practice,0,6,6,4,,,,,,,,,,,,42.74868820900156,None,w,1,0.9379664579901146,42.74868820900156,None,43.71247283399862,None,,,,,,,,,,,,,,,,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
mitt,word,na,w,georgia,2,practice3.jpeg,practice,practice,0,7,7,2,,,,,,,,,,,,44.715835875002085,None,w,1,0.9933404160110513,44.715835875002085,None,45.72919408400776,None,,,,,,,,,,,,,,,,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
fizz,word,na,w,georgia,2,practice1.jpeg,practice,practice,0,8,8,0,,,,,,,,,,,,46.73225745900709,None,w,1,0.9887719159887638,46.73225745900709,None,47.745893708997755,None,,,,,,,,,,,,,,,,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
