Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,setA.xlsx,16.34938937498373,None,space,11.482677874999354,16.34938937498373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
gnaw,word,na,w,comic sans,1,practice4.jpeg,practice,practice,0,0,0,3,,,,,,,,,,,,27.909979332995135,None,None,0,27.909979332995135,None,30.921143874991685,None,,,,,,,,,,,,,,,,,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
pove,non-word,na,n,comic sans,1,practice12.jpeg,practice,practice,0,1,1,11,,,,,,,,,,,,33.940116832993226,None,n,1,33.940116832993226,None,35.64462316600839,None,1.6699644159816671,,,,,,,,,,,,,,,,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
pond,word,na,w,comic sans,1,practice5.jpeg,practice,practice,0,2,2,4,,,,,,,,,,,,36.65526199998567,None,w,1,36.65526199998567,None,37.78558366600191,None,1.1068632499955129,,,,,,,,,,,,,,,,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
larp,non-word,na,n,comic sans,1,practice11.jpeg,practice,practice,0,3,3,10,,,,,,,,,,,,38.78782462500385,None,n,1,38.78782462500385,None,40.08553287500399,None,1.268553083005827,,,,,,,,,,,,,,,,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
kail,non-word,na,n,comic sans,1,practice10.jpeg,practice,practice,0,4,4,9,,,,,,,,,,,,41.087550750002265,None,n,1,41.087550750002265,None,42.3314349160064,None,1.2012000000104308,,,,,,,,,,,,,,,,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
fizz,word,na,w,georgia,2,practice1.jpeg,practice,practice,0,5,5,0,,,,,,,,,,,,43.33805191598367,None,w,1,43.33805191598367,None,44.30225949999294,None,0.9410456240002532,,,,,,,,,,,,,,,,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
faud,non-word,na,n,georgia,2,practice9.jpeg,practice,practice,0,6,6,8,,,,,,,,,,,,45.30524804099696,None,n,1,45.30524804099696,None,46.385783582984004,None,1.0489332080178428,,,,,,,,,,,,,,,,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
mitt,word,na,w,georgia,2,practice3.jpeg,practice,practice,0,7,7,2,,,,,,,,,,,,47.38901799998712,None,n,0,47.38901799998712,None,48.27431087498553,None,0.8625308749906253,,,,,,,,,,,,,,,,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
ball,word,na,w,georgia,2,practice2.jpeg,practice,practice,0,8,8,1,,,,,,,,,,,,49.289138958003605,None,w,1,49.289138958003605,None,50.30281754099997,None,0.9868451670045033,,,,,,,,,,,,,,,,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
