Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,setB.xlsx,45.33882379200077,None,space,13.574711125000249,45.33882379200077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
pove,non-word,na,n,comic sans,1,practice12.jpeg,practice,practice,0,0,0,11,,,,,,,,,,,,58.988368292000814,None,None,0,58.988368292000814,None,62.00416383400079,None,,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
larp,non-word,na,n,comic sans,1,practice11.jpeg,practice,practice,0,1,1,10,,,,,,,,,,,,65.02103829200041,None,n,1,65.02103829200041,None,66.79157604200009,None,1.7414640829993004,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
faud,non-word,na,n,georgia,2,practice9.jpeg,practice,practice,0,2,2,8,,,,,,,,,,,,67.80427904200042,None,n,1,67.80427904200042,None,68.98421262500051,None,1.1560454159998699,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
pond,word,na,w,comic sans,1,practice5.jpeg,practice,practice,0,3,3,4,,,,,,,,,,,,69.98815820900018,None,w,1,69.98815820900018,None,70.75131370899999,None,0.7394381240001167,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
darm,non-word,na,n,georgia,2,practice7.jpeg,practice,practice,0,4,4,6,,,,,,,,,,,,71.76702995900087,None,n,1,71.76702995900087,None,72.55116387500038,None,0.7672959580004317,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
fizz,word,na,w,georgia,2,practice1.jpeg,practice,practice,0,5,5,0,,,,,,,,,,,,73.55352441700052,None,w,1,73.55352441700052,None,74.40103229200031,None,0.8231887910005753,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
mitt,word,na,w,georgia,2,practice3.jpeg,practice,practice,0,6,6,2,,,,,,,,,,,,75.40388366700063,None,n,0,75.40388366700063,None,76.10533454200049,None,0.6755484579998665,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
slim,word,na,w,comic sans,1,practice6.jpeg,practice,practice,0,7,7,5,,,,,,,,,,,,77.11975683400033,None,w,1,77.11975683400033,None,78.15264058400044,None,1.0097760000007838,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
gnaw,word,na,w,comic sans,1,practice4.jpeg,practice,practice,0,8,8,3,,,,,,,,,,,,79.17063075000078,None,w,1,79.17063075000078,None,80.03458033400057,None,0.8426117079998221,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
kail,non-word,na,n,comic sans,1,practice10.jpeg,practice,practice,0,9,9,9,,,,,,,,,,,,81.03721758400025,None,n,1,81.03721758400025,None,81.78505733400016,None,0.7284031239996693,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
nars,non-word,na,n,georgia,2,practice8.jpeg,practice,practice,0,10,10,7,,,,,,,,,,,,82.78673425000034,None,n,1,82.78673425000034,None,83.63444475000051,None,0.8192550829999163,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
ball,word,na,w,georgia,2,practice2.jpeg,practice,practice,0,11,11,1,,,,,,,,,,,,84.63729891700041,None,w,1,84.63729891700041,None,85.33470500000021,None,0.6813467499996477,,,,,,,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.33496950000062,None,space,1.7462590000004639,86.33496950000062,None,,,,,,,,,,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
flut,non-word,None,n,comic sans,1,ComicSans69.jpeg,experimental,B,,,,,0,0,0,68,,,,,,,,,,,,,,,,,,,,,,,n,1,1.7813847079996776,88.16014241700032,None,88.16014241700032,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
daxy,non-word,None,n,comic sans,1,ComicSans78.jpeg,experimental,B,,,,,0,1,1,77,,,,,,,,,,,,,,,,,,,,,,,n,1,1.8014496659998258,89.9826245840004,None,89.9826245840004,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
spew,word,8.117,w,georgia,2,Georgia16.jpeg,experimental,B,,,,,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7955414159996508,91.81748629200047,None,None,None,91.81748629200047,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
rine,non-word,None,n,georgia,2,Georgia48.jpeg,experimental,B,,,,,0,3,3,47,,,,,,,,,,,,,,,,,,,,,,,n,1,1.2124016660000052,92.64898770900072,None,None,None,92.64898770900072,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
prop,word,8.112,w,georgia,2,Georgia15.jpeg,experimental,B,,,,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7183142499998212,93.89804266700048,None,None,None,93.89804266700048,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
fade,word,8.162,w,comic sans,1,ComicSans33.jpeg,experimental,B,,,,,0,5,5,32,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6939859579997574,94.64977179200014,None,94.64977179200014,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
chep,non-word,None,n,georgia,2,Georgia44.jpeg,experimental,B,,,,,0,6,6,43,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9461474989993803,95.38333416700061,None,None,None,95.38333416700061,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
